example_id                                         | status  | run_time        |
./spec/unit/resource_spec.rb[1:2:3:1]              | passed  | 0.00184 seconds |
./spec/unit/resource_spec.rb[1:3:1]                | passed  | 0.0018 seconds  |
./spec/unit/resource_spec.rb[1:4:1]                | passed  | 0.00182 seconds |
./spec/unit/resource_spec.rb[1:5:1]                | passed  | 0.0018 seconds  |
./spec/unit/resource_spec.rb[1:6:1]                | passed  | 0.00204 seconds |
./spec/unit/resource_spec.rb[1:7:1]                | passed  | 0.00229 seconds |
./spec/unit/resource_spec.rb[1:8:1:1]              | passed  | 0.00178 seconds |
./spec/unit/resource_spec.rb[1:8:2]                | passed  | 0.00182 seconds |
./spec/unit/resource_spec.rb[1:9:1]                | passed  | 0.00194 seconds |
./spec/unit/resource_spec.rb[1:9:2]                | passed  | 0.00194 seconds |
./spec/unit/resource_spec.rb[1:9:3:1]              | passed  | 0.00186 seconds |
